output_section,window_id,primary_dimension,secondary_dimension,tertiary_dimension,aggregate_count,metric_1,metric_2,metric_3,metric_4,metric_5,metric_note
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,depth_repertoire,INTEGRATED_REPERTOIRE,aggregate_classification,7,130.1654,21.0,9.5714,0.7857,1.3,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,quality_context,QUALITY_NEUTRAL_CONTEXT,aggregate_classification,7,50.1326,15.2857,2.5714,0.6071,1.0929,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,reliability_context,MEDIUM_RELIABILITY_CONTEXT,aggregate_classification,7,50.1326,15.2857,2.5714,0.6071,1.0929,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,trust_interpretability,STRUCTURAL_VERIFICATION_EVIDENCE,aggregate_classification,7,130.1654,21.0,9.5714,0.7857,1.3,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,velocity,HIGH_VELOCITY,aggregate_classification,7,122.0732,24.1429,8.8571,0.75,1.2571,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,quality_context,QUALITY_SUPPORTIVE_CONTEXT,aggregate_classification,6,95.8707,19.5,9.3333,0.8333,1.3667,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,readout_zone,SCALE_CANDIDATE,aggregate_classification,6,141.0739,23.3333,10.0,0.7708,1.2792,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,readout_zone,TRUST_EVIDENCE_GAP,aggregate_classification,6,2.4992,12.8333,1.1667,0.625,1.125,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,reliability_context,HIGH_RELIABILITY_CONTEXT,aggregate_classification,6,95.8707,19.5,9.3333,0.8333,1.3667,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,trust_interpretability,EVIDENCE_GAP,aggregate_classification,6,2.4992,12.8333,1.1667,0.625,1.125,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,depth_repertoire,FOCUSED_INTEGRATION,aggregate_classification,5,2.799,15.2,1.2,0.625,1.125,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,depth_repertoire,SMALL_CELL_SUPPRESSED,aggregate_classification,0,,,,,,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,readout_zone,SMALL_CELL_SUPPRESSED,aggregate_classification,0,,,,,,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,velocity,SMALL_CELL_SUPPRESSED,aggregate_classification,0,,,,,,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,quality_context,QUALITY_NEUTRAL_CONTEXT,aggregate_classification,11,57.848,17.5455,4.4545,0.5795,1.0432,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
