window_id,source_family,source_event_type,surface_id,journey_event_category,event_count
window_1,span,SPAN_UNKNOWN,other:SPAN,OTHER_AI_EVENT,851962423
window_1,gce,GLEAN_BOT_ACTIVITY,standalone:GLEAN_BOT_ACTIVITY,OTHER_AI_EVENT,290552997
window_1,gce,AI_SUMMARY,standalone:AI_SUMMARY,OTHER_AI_EVENT,225163
window_2,span,SPAN_UNKNOWN,other:SPAN,OTHER_AI_EVENT,1109846860
window_2,gce,GLEAN_BOT_ACTIVITY,standalone:GLEAN_BOT_ACTIVITY,OTHER_AI_EVENT,278032940
window_2,gce,MCP_USAGE,standalone:MCP_USAGE,OTHER_AI_EVENT,2706963
window_2,gce,AI_SUMMARY,standalone:AI_SUMMARY,OTHER_AI_EVENT,228294
window_3,span,SPAN_UNKNOWN,other:SPAN,OTHER_AI_EVENT,1728133767
window_3,gce,GLEAN_BOT_ACTIVITY,standalone:GLEAN_BOT_ACTIVITY,OTHER_AI_EVENT,278900955
window_3,gce,MCP_USAGE,standalone:MCP_USAGE,OTHER_AI_EVENT,8292478
window_3,gce,AI_SUMMARY,standalone:AI_SUMMARY,OTHER_AI_EVENT,243543
