output_section,window_id,primary_dimension,secondary_dimension,tertiary_dimension,aggregate_count,metric_1,metric_2,metric_3,metric_4,metric_5,metric_note
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,depth_repertoire,INTEGRATED_REPERTOIRE,aggregate_classification,7,128.3169,21.2857,9.5714,0.7857,1.3,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,quality_context,QUALITY_NEUTRAL_CONTEXT,aggregate_classification,7,48.6941,15.2857,2.5714,0.6071,1.0929,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,reliability_context,MEDIUM_RELIABILITY_CONTEXT,aggregate_classification,7,48.6941,15.2857,2.5714,0.6071,1.0929,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,trust_interpretability,STRUCTURAL_VERIFICATION_EVIDENCE,aggregate_classification,7,128.3169,21.2857,9.5714,0.7857,1.3,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,velocity,HIGH_VELOCITY,aggregate_classification,7,120.2001,24.4286,8.8571,0.75,1.2571,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,quality_context,QUALITY_SUPPORTIVE_CONTEXT,aggregate_classification,6,95.3698,19.6667,9.3333,0.8333,1.3667,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,readout_zone,TRUST_EVIDENCE_GAP,aggregate_classification,6,2.4764,12.6667,1.1667,0.625,1.125,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,readout_zone,SCALE_CANDIDATE,aggregate_classification,6,138.9174,23.6667,10.0,0.7708,1.2792,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,reliability_context,HIGH_RELIABILITY_CONTEXT,aggregate_classification,6,95.3698,19.6667,9.3333,0.8333,1.3667,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,trust_interpretability,EVIDENCE_GAP,aggregate_classification,6,2.4764,12.6667,1.1667,0.625,1.125,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,depth_repertoire,FOCUSED_INTEGRATION,aggregate_classification,5,2.7717,15.0,1.2,0.625,1.125,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,depth_repertoire,SMALL_CELL_SUPPRESSED,aggregate_classification,0,,,,,,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,readout_zone,SMALL_CELL_SUPPRESSED,aggregate_classification,0,,,,,,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_1,velocity,SMALL_CELL_SUPPRESSED,aggregate_classification,0,,,,,,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,quality_context,QUALITY_NEUTRAL_CONTEXT,aggregate_classification,12,52.892,16.3333,4.1667,0.5833,1.05,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,reliability_context,MEDIUM_RELIABILITY_CONTEXT,aggregate_classification,12,52.892,16.3333,4.1667,0.5833,1.05,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,readout_zone,TRUST_EVIDENCE_GAP,aggregate_classification,8,4.8035,11.375,1.25,0.625,1.125,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,trust_interpretability,EVIDENCE_GAP,aggregate_classification,8,4.8035,11.375,1.25,0.625,1.125,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,depth_repertoire,INTEGRATED_REPERTOIRE,aggregate_classification,7,128.0528,20.7143,9.4286,0.6607,1.1107,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,trust_interpretability,STRUCTURAL_VERIFICATION_EVIDENCE,aggregate_classification,7,128.0528,20.7143,9.4286,0.6607,1.1107,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,velocity,HIGH_VELOCITY,aggregate_classification,7,126.4675,23.4286,8.5714,0.6071,1.0571,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,depth_repertoire,FOCUSED_INTEGRATION,aggregate_classification,6,6.0713,14.8333,1.3333,0.625,1.125,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,readout_zone,SCALE_CANDIDATE,aggregate_classification,6,146.9158,22.8333,9.8333,0.6042,1.0458,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
CLASSIFICATION_DISTRIBUTION_SUMMARY,window_2,velocity,MEDIUM_VELOCITY,aggregate_classification,5,9.105,13.8,2.6,0.7,1.2,Classification distributions are aggregate evidence bands; small cells are suppressed independently.
