behavior_cohort_dimension,behavior_cohort_band,trust_classification,agent_delegation_classification,skill_read_presence_classification,window_count,windows_present,min_cohort_size,max_cohort_size,window_signal_count_sum,window_attributed_signal_count_sum,mean_attributed_signal_share,max_agent_delegation_user_count,max_skill_read_user_count,readiness_decisions
agent_delegation_band,AGENT_DELEGATION_ABSENT,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,14640,20116,174939,114632,0.6517020625927841,0,0,HOLD_FOR_EVIDENCE_GAPS
agent_delegation_band,AGENT_DELEGATION_ABSENT,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,1558,10707,87756,44879,0.5797381282246789,0,10707,CONTINUE_RESEARCH
agent_delegation_band,AGENT_DELEGATION_ABSENT,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,1646563,1855784,0,0,,0,0,HOLD_FOR_EVIDENCE_GAPS
agent_delegation_band,AGENT_DELEGATION_ABSENT,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,19564,79112,0,0,,0,79112,CONTINUE_RESEARCH
agent_delegation_band,AGENT_DELEGATION_ABSENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,20502,25889,465750,0,0.0,0,0,HOLD_FOR_EVIDENCE_GAPS
agent_delegation_band,AGENT_DELEGATION_ABSENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,1730,6046,105095,0,0.0,0,6046,CONTINUE_RESEARCH
agent_delegation_band,AGENT_DELEGATION_ABSENT,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,3,1|2|3,34790,108266,791996,0,0.0,0,0,HOLD_FOR_EVIDENCE_GAPS
agent_delegation_band,AGENT_DELEGATION_ABSENT,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,3,1|2|3,2577,58256,384683,0,0.0,0,58256,CONTINUE_RESEARCH
agent_delegation_band,AGENT_DELEGATION_PRESENT,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,2757,3779,38504,25181,0.6536697421393387,3779,0,HOLD_FOR_EVIDENCE_GAPS
agent_delegation_band,AGENT_DELEGATION_PRESENT,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,3,1|2|3,381,2484,21135,10662,0.5661609577539745,2484,2484,CONTINUE_RESEARCH
agent_delegation_band,AGENT_DELEGATION_PRESENT,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,43111,58295,0,0,,58295,0,HOLD_FOR_EVIDENCE_GAPS
agent_delegation_band,AGENT_DELEGATION_PRESENT,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,3,1|2|3,3231,10492,0,0,,10492,10492,CONTINUE_RESEARCH
agent_delegation_band,AGENT_DELEGATION_PRESENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,1575,3666,54568,0,0.0,3666,0,HOLD_FOR_EVIDENCE_GAPS
agent_delegation_band,AGENT_DELEGATION_PRESENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,3,1|2|3,362,947,14989,0,0.0,947,947,CONTINUE_RESEARCH
agent_delegation_band,AGENT_DELEGATION_PRESENT,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3,1|2|3,4827,13521,102144,0,0.0,13521,0,HOLD_FOR_EVIDENCE_GAPS
agent_delegation_band,AGENT_DELEGATION_PRESENT,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,3,1|2|3,591,10561,70584,0,0.0,10561,10561,CONTINUE_RESEARCH
agent_delegation_band,AGENT_DELEGATION_REPEATED,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,3,1|2|3,8097,16178,231396,116478,0.4932364729125269,16178,0,CONTINUE_RESEARCH
agent_delegation_band,AGENT_DELEGATION_REPEATED,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,3,1|2|3,2047,12106,185787,68834,0.37033751787089725,12106,12106,CONTINUE_RESEARCH
