window_start,window_end,verification_event_type,expected_parent_surface,attribution_tier,attribution_result,signal_count,attributed_signal_count,attribution_rate,distinct_signal_users,candidate_parent_count,candidate_surface_count,expected_parent_count,attribution_status
2026-01-22,2026-03-23,AI_ANSWER_VOTE,workflow:AI_ANSWER,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,4356,0,0.0,3261,4375,4375,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2026-01-22,2026-03-23,AI_ANSWER_VOTE,workflow:AI_ANSWER,NO_PARENT,SMALL_CELL_SUPPRESSED,,,,,,,,SMALL_CELL_SUPPRESSED
2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,86,0,0.0,34,172,172,86,TRUST_ATTRIBUTION_AMBIGUOUS
2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,27,27,1.0,23,27,27,27,TRUST_ATTRIBUTION_STRICT
2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,NO_PARENT,NO_PARENT,388,0,0.0,113,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,4803,0,0.0,270,4803,4803,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,948,948,1.0,323,948,948,948,TRUST_ATTRIBUTION_STRICT
2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,NO_PARENT,NO_PARENT,284185,0,0.0,24130,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2026-01-22,2026-03-23,CHAT_CITATION_CLICK,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,248166,0,0.0,71916,248166,248166,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2026-01-22,2026-03-23,CHAT_CITATION_CLICK,workflow:CHAT,NO_PARENT,NO_PARENT,129,0,0.0,46,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,847,0,0.0,375,850,1692,850,TRUST_ATTRIBUTION_AMBIGUOUS
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,CROSS_SURFACE_ALIAS,62264,0,0.0,20656,62264,62264,0,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,72867,72867,1.0,28752,72867,72867,72867,TRUST_ATTRIBUTION_STRICT
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,NO_PARENT,NO_PARENT,107258,0,0.0,35420,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,SESSION_PARENT_KEY,AMBIGUOUS_PARENT,93,0,0.0,60,382,93,382,TRUST_ATTRIBUTION_AMBIGUOUS
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,SESSION_PARENT_KEY,SESSION_PARENT_ATTRIBUTION,72,72,1.0,43,72,72,72,TRUST_ATTRIBUTION_SESSION
2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,EXACT_PARENT_KEY,AMBIGUOUS_PARENT,32,0,0.0,8,64,64,32,TRUST_ATTRIBUTION_AMBIGUOUS
2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,EXACT_PARENT_KEY,STRICT_PARENT_ATTRIBUTION,852,852,1.0,529,852,852,852,TRUST_ATTRIBUTION_STRICT
2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,NO_PARENT,NO_PARENT,7791,0,0.0,1808,0,0,0,TRUST_ATTRIBUTION_NO_PARENT
