window,window_start,window_end,verification_event_type,expected_parent_surface,joined_parent_surface,total_signal_count,signal_count_with_user_key,signal_count_with_join_key,distinct_signal_users,joined_signal_count,joined_surface_count,joined_user_count,signal_join_rate,availability_status
1,2026-03-23,2026-05-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,standalone:AI_SUMMARY,3422,3422,3422,2662,25,25,12,0.007305669199298656,PARTIAL_JOIN
1,2026-03-23,2026-05-22,AI_ANSWER_VOTE,workflow:AI_ANSWER,standalone:SEARCH,3422,3422,3422,2662,3351,3212,2661,0.9792518994739918,JOINABLE
1,2026-03-23,2026-05-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,standalone:AI_SUMMARY,320,320,171,122,99,79,45,0.309375,PARTIAL_JOIN
1,2026-03-23,2026-05-22,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,standalone:SEARCH,320,320,171,122,77,54,23,0.240625,PARTIAL_JOIN
1,2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,workflow:AGENT,281920,281920,281920,34383,322,321,117,0.0011421679909194098,PARTIAL_JOIN
1,2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,workflow:AGENT_LIVE_PREVIEW,281920,281920,281920,34383,93,93,15,3.2988081725312147E-4,PARTIAL_JOIN
1,2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,workflow:CHAT,281920,281920,281920,34383,589,589,98,0.002089245175936436,PARTIAL_JOIN
1,2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,workflow:GLEANBOT,281920,281920,281920,34383,38,38,11,1.347900113507378E-4,PARTIAL_JOIN
1,2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,workflow:INLINE_MENU,281920,281920,281920,34383,2,2,1,7.094211123723042E-6,PARTIAL_JOIN
1,2026-03-23,2026-05-22,CHAT_CITATIONS,workflow:CHAT,workflow:UNSPECIFIED,281920,281920,281920,34383,2571,2571,5,0.00911960839954597,PARTIAL_JOIN
1,2026-03-23,2026-05-22,CHAT_CITATION_CLICK,workflow:CHAT,standalone:SEARCH,1211558,1211558,1211558,269260,1156622,766932,261188,0.9546567312501754,JOINABLE
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,standalone:AUTOCOMPLETE,312589,312589,309526,110701,192789,143658,76740,0.6167491498421249,JOINABLE
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,standalone:GLEAN_BOT_ACTIVITY,312589,312589,309526,110701,30,15,12,9.597266698444284E-5,PARTIAL_JOIN
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,standalone:SEARCH,312589,312589,309526,110701,205767,149248,83740,0.658266925579595,JOINABLE
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,workflow:AGENT,312589,312589,309526,110701,190597,104141,40006,0.6097367469744617,JOINABLE
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,workflow:AGENT_LIVE_PREVIEW,312589,312589,309526,110701,54785,28578,4335,0.17526208535809001,PARTIAL_JOIN
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,workflow:AI_ANSWER,312589,312589,309526,110701,4460,2923,1653,0.014267936491687167,PARTIAL_JOIN
1,2026-03-23,2026-05-22,CHAT_FEEDBACK,workflow:CHAT,workflow:AI_FEED,312589,312589,309526,110701,7,4,2,2.2393622296369993E-5,PARTIAL_JOIN
