window_start,window_end,verification_event_type,expected_parent_surface,joined_parent_surface,total_signal_count,signal_count_with_user_key,signal_count_with_join_key,distinct_signal_users,joined_signal_count,joined_surface_count,joined_user_count,signal_join_rate,availability_status
2026-01-22,2026-03-23,AI_ANSWER_VOTE,workflow:AI_ANSWER,standalone:AI_SUMMARY,4424,4424,4424,3262,19,18,18,0.004294755877034358,PARTIAL_JOIN
2026-01-22,2026-03-23,AI_ANSWER_VOTE,workflow:AI_ANSWER,standalone:SEARCH,4424,4424,4424,3262,4357,4056,3261,0.9848553345388789,JOINABLE
2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,standalone:AI_SUMMARY,501,501,184,163,113,74,56,0.22554890219560877,PARTIAL_JOIN
2026-01-22,2026-03-23,AI_SUMMARY_VOTE,standalone:AI_SUMMARY,standalone:SEARCH,501,501,184,163,86,47,34,0.17165668662674652,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,workflow:AGENT,289950,289950,289950,24592,569,569,161,0.001962407311605449,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,workflow:AGENT_LIVE_PREVIEW,289950,289950,289950,24592,225,225,29,7.759958613554061E-4,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,workflow:AI_ANSWER,289950,289950,289950,24592,7,7,3,2.4142093464390412E-5,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,workflow:CHAT,289950,289950,289950,24592,948,948,323,0.0032695292291774446,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,workflow:GLEANBOT,289950,289950,289950,24592,149,149,95,5.138817037420245E-4,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_CITATIONS,workflow:CHAT,workflow:UNSPECIFIED,289950,289950,289950,24592,3853,3853,10,0.013288498016899465,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_CITATION_CLICK,workflow:CHAT,standalone:SEARCH,248304,248304,248304,71929,248175,177940,71916,0.9994804755461048,JOINABLE
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,standalone:AUTOCOMPLETE,243439,243439,158313,72681,68374,43020,24788,0.28086707553021495,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,standalone:GLEAN_BOT_ACTIVITY,243439,243439,158313,72681,48,25,21,1.9717465155542045E-4,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,standalone:SEARCH,243439,243439,158313,72681,89057,57924,35120,0.3658288113243975,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:AGENT,243439,243439,158313,72681,50614,16578,4641,0.2079124544547094,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:AGENT_LIVE_PREVIEW,243439,243439,158313,72681,30210,11963,1546,0.12409679632269274,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:AI_ANSWER,243439,243439,158313,72681,3285,1914,1005,0.013494140215824088,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:AI_FEED,243439,243439,158313,72681,9,9,1,3.6970247166641334E-5,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:CHAT,243439,243439,158313,72681,287342,171628,29511,1.1803449734841172,JOINABLE
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:EMBEDDED_INTEGRATION_SUPPORT,243439,243439,158313,72681,879,621,94,0.0036107608066086373,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:GLEANBOT,243439,243439,158313,72681,80121,50524,21243,0.32912146369316336,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:INLINE_MENU,243439,243439,158313,72681,2086,1769,883,0.008568881732179314,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:INTERACTIVE_COMPILER,243439,243439,158313,72681,2511,1410,820,0.010314698959492932,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:PRISM,243439,243439,158313,72681,7,4,2,2.8754636685165482E-5,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:SPACES,243439,243439,158313,72681,59,21,7,2.4236050920353763E-4,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:SUPPORT_NEXT_STEPS,243439,243439,158313,72681,1011,733,147,0.004152991098386043,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:UNSPECIFIED,243439,243439,158313,72681,1872,1319,516,0.007689811410661398,PARTIAL_JOIN
2026-01-22,2026-03-23,CHAT_FEEDBACK,workflow:CHAT,workflow:VOICE_CHAT,243439,243439,158313,72681,65,41,24,2.6700734064796517E-4,PARTIAL_JOIN
2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,standalone:AI_SUMMARY,8675,8675,5999,2299,32,31,8,0.0036887608069164266,PARTIAL_JOIN
2026-01-22,2026-03-23,SEARCH_FEEDBACK,standalone:SEARCH,standalone:SEARCH,8675,8675,5999,2299,884,797,533,0.10190201729106628,PARTIAL_JOIN
